recruitment@futurejordan.com,,ksa,,,,,
careers@boeing.com,,,Boeing,,,,
hr@delogss.com,,, Delmon Oil & Gas,,,,
careers.ksa@akzonobel.com,,, Akzonobel,,,,
abdulla.shaaban@bureauveritas.com ,,, Bureauveritas,,,,
Hamad.alshawoosh@sa.yokogawa.com ,,, YOKOGAWA,,,,
JOBS@ARGASKSA.COM ,,, ARGAS KSA,,,,
hr@jatco.com.sa ,,, JATCO,,,,
HR@mobily.com.sa ,,, Mobily ,,,,
Recruitment@mobily.com.sa ,,, Mobily ,,,,
recruitment@marafiq.com ,,, Marafiq,,,,
job@vinnellarabia.com,,, Vinnell,,,,
career@sadara.com ,,, SADARA,,,,
career@satorp.com,,, SATORP,,,,
humanresources@aytb.com,,, AYTB,,,,
career@ safari.com.sa,,, Safari,,,,
recruitment@chamber.org.sa,,, Chamber of Commerce,,,,
careers@gaca.gov.sa,,, Arabian Geophysical & Surveying Co,,,,
hrsa@saipem.com,,, SAIPEM,,,,
scphr@saudichevron.com ,,, Chevron,,,,
recruit@jgc.com.sa,,, JGC,,,,
hrsaudi@jatco.com.sa,,, JATCO,,,,
armfsrecruiter@slb.com,,, Schlumberge,,,,
a.alshammari@sasref.com.sa,,, SASREF,,,,
recruitment@sabic.com,,, SABIC,,,,
MiddleEast@honeywell.com,,, Honyweel,,,,
albishi@chemanol.com,,, Methanol Chemicals Company,,,,
Mohammed.alabdulwahed@jesco.com.sa,,, Jasco,,,,
smushaiti@sipchem.com,,, Sipchem,,,,
rmd.ksa@rmdkwikform.com,,, Rmdkwikform,,,,
jobs@basf.com,,, BASF,,,,
jobs@saudiamro.com,,, ARAMCO,,,,
jobs@almajdouie.com,,, Almajdouie,,,,
jobs@alfransi.com.sa,,, Bank AlFaransi ,,,,
careers@accenture.com,,, Accenture,,,,
recruit@jgc.com,,, JGC,,,,
falyousef@saib.com.sa,,, The Saudi Investment Bank,,,,
reachus@wipro.com,,, Wipro,,,,
vacancy@kincaidi.com,,, Kincaid International,,,,
careers.im@pg.com,,, pg,,,,
aashehri@sipchem.com,,, Sipchem,,,,
mabdullatif@sipchem.com,,,,,,,
yasser.al-mahdi@siemens.com,,, Siemens,,,,
