
32Group,Travel and Tourism,UAE,Dubai,P.O.Box 44132,Tel: +971 4-330-3332,,mail@32group-dubai.com ,,,,,
,,,,,Fax: +971 4-330-4232,,,,,,,
3Com International,Telecoms and IT,UAE,Dubai,P.O.Box 53657,Tel: +971 4-390-8990,,emea.3com.com,,,,,
,,,,,Fax: +971 4-391-8690,,,,,,,
3M Gulf,Conglomerates,UAE,Dubai,Building No 11,Tel: +971 4-367-0777,,www.3mgulf.com,3mgulf@mmm.com,,,,
,,,,Dubai Internet City,Fax: +971 4-367-0998,,,,,,,
,,,,P.O.Box 20191,,,,,,,,
3i Infotech,Telecoms and IT,UAE,Dubai,Building 1,Tel: +971 4-391-4900,,www.3i-infotech.com,marketing.emea@3i-infotech.com,,,,
,,,,Dubai Internet City,Fax: +971 4-391-8773,,,,,,,
,,,,P.O.Box 9109,,,,,,,,
A A Al Moosa Enterprises,Conglomerates,UAE,Dubai,Arenco Building,Tel: +971 4-336-5427,,www.aaagroup.com,arenco@emirates.net.ae,,,,
,,,,Zabil Road,Fax: +971 4-335-3675,,,,,,,
,,,,P.O.Box 2622,Fax: +971 4-337-0726,,,,,,,
A W Rostamani Group,Conglomerates,UAE,Dubai,Nissan Building,Tel: +971 4-295-2222,www.awrostamani.com,www.awrostamani.com,,,,,
,,,,Al Ittihad Street,Tel: +971 4-295-6650,,,,,,,
,,,,Deira,Fax: +971 4-295-2828,,,,,,,
,,,,P.O.Box 128,,,,,,,,
A and T Cool,Power and Utilities,UAE,,"C/O, National Central Cooling Company",Tel: +971 4-340-4422,gmail@tabreed.com,gmail@tabreed.com,,,,,
,,,,Tabreed Building,Fax: +971 4-340-4422,,,,,,,
,,,,Sheikh Zayed Road,,,,,,,,
,,,,P.O.Box 32444,,,,,,,,
AAA Home Group,Services,UAE,Dubai,Building 4,Tel: +971 4-368-9999,www.dubaiaaa.com,www.dubaiaaa.com,sales@dubaiaaa.com,,,,
,,,,Office No. 505,Fax: +971 4-362-6161,sales@dubaiaaa.com,,,,,,
,,,,Sheikh Zayed Road,,,,,,,,
,,,,Emaar Business Park,,,,,,,,
,,,,P.O.Box 72585,,,,,,,,
AAKAR Developers,Real Estate,UAE,Dubai,Block Number 13,Tel: +971 4-368-4347,www.aakar.biz,www.aakar.biz,www.canada-businesscentre.com,info@aakar.biz,,,
,,,,Ground Floor,Fax: +971 4-368-4348,www.canada-businesscentre.com,,,,,,
,,,,Knowledge Village,,info@aakar.biz,,,,,,
,,,,P.O.Box 121338,,,,,,,,
ABB Industries,Industrial Manufacturing,UAE,Dubai,ABB Building,Tel: +971 4-334-7788,www.mena.abb.com,www.mena.abb.com,duabb.reception@ae.abb.com,,,,
,,,,Al Qouz Industrial Area,Fax: +971 4-334-7754,duabb.reception@ae.abb.com,,,,,,
,,,,P.O.Box 11070,,,,,,,,
ABB International Marketing - UAE,Construction,UAE,Dubai,ABB Building,Tel: +971 4-314-7500,www.mena.abb.com,www.mena.abb.com,duabb.reception@ae.abb.com,,,,
,,,,Al Qouz Industrial Area,Fax: +971 4-340-1543,duabb.reception@ae.abb.com,,,,,,
,,,,P.O.Box 11070,,,,,,,,
ABN AMRO Bank,Financial Services,UAE,Dubai,Khaled Bin Al Waleed Street,Tel: +971 4-351-2200,www.abnamro.ae,www.abnamro.ae,,,,,
,,,,P.O.Box 2567,Fax: +971 4-351-1555,,,,,,,
ABQ Investments,Financial Services,UAE,Dubai,Suite 305,Tel: +971 4-396-6336,www.abq-investments.com,www.abq-investments.com,info@abq-investments.com,,,,
,,,,The Business Center Building,Fax: +971 4-397-7090,info@abq-investments.com,,,,,,
,,,,Bank Street,,,,,,,,
,,,,P.O.Box 211495,,,,,,,,
ABQ Zawya,Media,UAE,Dubai,The Exchange Building,Tel: +971 4-363-5660,www.zawya.com,www.zawya.com,support@zawya.com,,,,
,,,,Level 6,Tel: +971 4-363-5663,support@zawya.com,,,,,,
,,,,Dubai International Financial Center,Fax: +971 4-363-7187,,,,,,,
,,,,P.O.Box 41640,,,,,,,,
ADCB Macquarie Corporate Finance,Financial Services,UAE,Abu Dhabi,"C/O, Abu Dhabi Commercial Bank, PO Box 939, Abu Dhabi, United Arab Emirates",Tel: +971 2-644-4873,,,,,,,
,,,,,Tel: +971 2-696-2222,,,,,,,
,,,,,Fax: +971 2-645-0384,,,,,,,
ADCB Macquarie Real Estate Capital,Financial Services,UAE,Abu Dhabi,"C/O, Abu Dhabi Commercial Bank, PO Box 939, Abu Dhabi, United Arab Emirates",Tel: +971 2-644-4873,,,,,,,
,,,,,Tel: +971 2-696-2222,,,,,,,
,,,,,Fax: +971 2-645-0384,,,,,,,
AES Oasis,Power and Utilities,UAE,Dubai,P.O.Box 62843,Tel: +971 4-332-9699,,,,,,,
,,,,,Fax: +971 4-332-6787,,,,,,,
AGA-ADK,Media,UAE,Dubai,Al Garhoud Center,Tel: +971 4-282-9555,www.agadubai.com,www.agadubai.com,agadxb@emirates.net.ae,,,,
,,,,1st Floor,Fax: +971 4-282-9669,agadxb@emirates.net.ae,,,,,,
,,,,Al Garhoud Street,,,,,,,,
,,,,P.O.Box 50105,,,,,,,,
AGN MAK,Services,UAE,Dubai,Al Reem Tower,Tel: +971 4-228-3008,www.agnmak.com,www.agnmak.com,makdubai@agnmak.com,,,,
,,,,14th Floor,Fax: +971 4-227-4435,makdubai@agnmak.com,,,,,,
,,,,Al Maktoum Street,,,,,,,,
,,,,Deira,,,,,,,,
,,,,P.O.Box 6747,,,,,,,,
AIG MEMSA Insurance Company,Financial Services,UAE,Dubai,The Gate Building,Tel: +971 4-362-1700,,,,,,,
,,,,11th Floor West Wing,Fax: +971 4-362-0841,,,,,,,
,,,,Dubai International Financial Center,,,,,,,,
,,,,P.O.Box 117719,,,,,,,,
ALDAR Properties,Real Estate,UAE,Abu Dhabi,Emirates Post Building,Tel: +971 2-696-4444,www.aldar.com,www.aldar.com,info@aldar.com,,,,
,,,,Al Najda Street,Fax: +971 2-641-7501,info@aldar.com,,,,,,
,,,,P.O.Box 51133,,,,,,,,
AME Info,Media,UAE,Dubai,"Phase II, Building 4",Tel: +971 4-390-2700,www.ameinfo.com,www.ameinfo.com,,,,,
,,,,Office 204-205,Fax: +971 4-390-8015,,,,,,,
,,,,Dubai Media City,,,,,,,,
,,,,P.O.Box 502100,,,,,,,,
AMS Contracting Company,Construction,UAE,Sharjah,P.O.Box 22484,Tel: +971 6-531-1444,amsgroup@emirates.net.ae,amsgroup@emirates.net.ae,,,,,
,,,,,Tel: +971 6-531-1533,,,,,,,
,,,,,Fax: +971 6-531-1135,,,,,,,
