Abbar and Zainy Cold Stores,www.abbar-and-zainy-coldstores.com,www.abbar-and-zainy-coldstores.com,Agriculture and Food,KSA,Jeddah,Abbar and Zainy Building,Tel: +966 2-637-1315
Abdelhadi Abdullah Al Qahtani and Sons Beverage Industry,,,Agriculture and Food,KSA,,Khamis Musheit,Tel: +966 7-227-0160
Abdulaziz Al Rashed Al Humaid Company,mdoffice@arhgroup.com.sa,mdoffice@arhgroup.com.sa,Agriculture and Food,KSA,Riyadh,P.O.Box 15586,Tel: +966 1-402-4243
Afia International Company,info@afia.com.sa,info@afia.com.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 30439,Tel: +966 2-635-0000
Agricultural Development Company,www.adc-ksa.com,www.adc-ksa.com,Agriculture and Food,KSA,Riyadh,Omar Bin Abdulaziz Street,Tel: +966 1-473-0302
Ahmed Mohamed Saleh Baeshen and Company,www.baeshen.com,www.baeshen.com,Agriculture and Food,KSA,Jeddah,P.O.Box 18,Tel: +966 2-653-1760
AJWA Group for Food Industries,www.ajwagroup.com,www.ajwagroup.com,Agriculture and Food,KSA,Jeddah,Al Mahamal Tower,Tel: +966 2-642-0552
Al Akhawain Company,www.al-akhawain.com,www.al-akhawain.com,Agriculture and Food,KSA,Riyadh,Al Akhawain Building,Tel: +966 1-405-4200
Al Amoudi Beverage Industries,info@alamodi.com ,info@alamodi.com ,Agriculture and Food,KSA,Jeddah,Palestine Street,Tel: +966 2-671-6414
Al Aziziah Agricultural Products Company,alazizia@sol.net.sa,alazizia@sol.net.sa,Agriculture and Food,KSA,Riyadh,Khalidiya Building,Tel: +966 1-463-0531
Al Emar Group Establishment Farming and Quarry,www.al-emar.com,www.al-emar.com,Agriculture and Food,KSA,Riyadh,P.O.Box 22181,Tel: +966 1-464 2888
Al Hada Water,www.alhada.com.sa,www.alhada.com.sa,Agriculture and Food,KSA,Jeddah,P.O.Box 23978,Tel: +966 2-677-9393
Al Jazeerah Food Packing Company,www.gandour.com,www.gandour.com,Agriculture and Food,KSA,Jeddah,P.O.Box 13416,Tel: +966 2-636-6608
Al Jomaih Bottling Plants,,,Agriculture and Food,KSA,Riyadh,Al Ahssa Street,Tel: +966 1-476-3824
Al Jouf Agricultural Development,www.aljouf.com.sa,www.aljouf.com.sa,Agriculture and Food,KSA,Al Jouf,Skaka,Tel: +966 4-654-0054
Al Kabli Corporation,,,Agriculture and Food,KSA,Jeddah,P.O.Box 3311,Tel: +966 2-651 1796
