BLOWTECH PLASTIC PTY LTD ,blowtech@optusnet.com.au ,61-2-87045084,92 WYONG STREETCANLEY HEIGHTS NSW 2166;AUSTRALIA ,Australia,Machinery  , 

PT. MILENIA MEGA MANDIRI ,ceo@alarm-specialist.com ,6221-3844076,JL. PECENONGAN RAYA NO.55A;INDONESIA ,Indonesia,Machinery  ,www.alarm-specialist.com 

KANSAI GUANGDONG TRADING & INVESTMENTS CO. LTD. ,kgc@mail.hkisl.net ,25257166,UNIT 1201-2; 12/F.; TERN PLAZA;5 CAMERON ROAD;TST; KOWLOON;HONGKONG ,HongKong,Machinery  ,kgchk.com.hk 

APOLLO PHOTOFINISHING (PVT) LTD. ,ap_photo@slt.lk ,94312238561,NO. 38; B'' BLOCK;SHOPPING COMPLEX;NEGOMBO.;SRI LANKA ,Sri Lanka,Machinery  , 

G.B. INDUSTRIES SDN. BHD. ,admin@gb-intl.com ,603-56348860,44-1; JALAN USJ 10/1B;47620 SUBANG JAYA;SELANGOR;MALAYSIA ,Malaysia,Machinery  ,www.gb-intl.com 

S.S.IMPEX ,ssimpex@indiainfo.com ,0091-121-2515795,299;RIKSHAWBODY MARKET; KHAIR NAGAR;MEERUT-250002 ;(U.P.)INDIA ,India,Machinery  , 

SKAN SP.Z.O.O. ,apiechocinski_skan@onet.pl ,297526514,UL LESZNO 4A 06-300 PRZASNYSZPOLAND ,Poland,Machinery  , 

ALTEC DESARROLLO; S.L. ,altec@wanadoo.es ,34932853261,PL. ALFONSO EL SABIO; 8; PAPL.;2. 08024 BARCELONA;SPAIN ,Spain,Machinery  ,altec.e.telefonica.net 

LAWTRONIC LTD ,tim@lawtronic.co.uk ,4.42E+11,Hamlin Way; Hardwick Narrows Estate; King''s Lynn; Norfolk; U.K. ,United Kingdom,Machinery  ,www.lawtronic.co.uk 

NEW WAY COMPANY ,hongkong@nw.com.hk ,852-23906338,RM 1-2; 14/F.; BRIGHTWAY TOWER;33 MONGKOK ROAD;  KOWLOON;HONGKONG ,HongKong,Machinery  ,www.nw.com.hk 

SAGEM SA GUANGZHOU OFFICE ,sagem.gz@tom.com ,87690533,Rm2502;Tower 2;Dong Jun Plaza; 836 Dong Feng Road East;510080 Guangzhou P.R.China; FRANCE ,France,Machinery  , 

IMATECH CORPORATION ,willyto@imatech.com.ph ,(632)7262243,4TH FLR PEAKSUN BLDG;1505 PRINCETON ST.MANDALUYONG CITY;PHILIPPINES ,Philippines,Machinery  ,www.Imatech.com.ph 

AUSTRALASIAN FIRE DOORS PTY LTD ,apangallo@austfiredoors.com.au ,61299712600,173 SOUTH CREEK RD; DEE WHY WEST; AUSTRALIA ,Australia,Machinery  , 

TEKNOMAC S.R.L. ,info@teknomac.it ,39-0731-878415,VIA E. MATTEI.14 -60030SERRA DE CONTI-ANITALY ,Italy,Machinery  ,www.teknomac.it 

ENERGY INNOVATIONS ,andrew@energyinnovations.com ,(626)535-2748,130 W. UNION STREET;PASADENA; CA 91103U.S.A. ,United States,Machinery  , 

HONGKONG ,pzq8656@163.com ,21915759,hongkong; HONGKONG SAR ,HongKong,Machinery  , 

HELACO ,softtouch@epm.net.com ,43620052,Cra 50 C # 10 sur 46; COLOMBIA ,Colombia,Machinery  , 

KOTES KOREA ,kotes@korea.com ,82-2-546-3373,100-11; SAMSUNG-DONG; KANGNAM-KU;SEOUL;KOREA ,South Korea,Machinery  , 

ASIA JOINT STOCK COMPANY ,kimlanhn@fpt.vn ,+84 4 5331840,59/167 TAY SON; HANOI; VIETNAM ,Vietnam,Machinery  , 

SAE TRADING PTE LTD ,SAESALE@SINA.COM ,0065-67457230,BLK 3027 UBI ROAD1 #01-116SINGAPORE 408720;SINGAPORE ,Singapore,Machinery  , 

RICHARDSON & WRENCH ,Rickysamual@i-cable.com ,93196695,FLAT E; 21/F.; BLOCK 8;RICHLAND GARDENS; KOWLOON BAY;HONGKONG ,HongKong,Machinery  , 

OSTEN CORPORATION ,fuzin.taiwan@msa.hinet.net ,886-8-7626330,NO.308;FU-SHING RD; CHANGJR SHIANG;PING TUNG 908;TAIWAN ,China Taiwan,Machinery  , 

STC MARINE SERVICES ,voonj1@tm.net.my ,(60)88261299,P.O.BOX 12538; 88828 KOTAKINABALU  SABAH;MALAYSIA ,Malaysia,Machinery  , 

JOY`S NATIONAL SEWING MACHINE SERVICES ,joy1@btinternet.com ,4.41E+11,NEW BARN FARM; COTON PARK; LINTON;SWADLINCOTE; DERBYSHIRE; DE12 6RG;U.K. ,United Kingdom,Machinery  , 

ACCESS INTERNATIONAL PRIVATE LIMITED; AIRCONDITIONING DIVISION ,nipuna@access.lk ,9474723991,#45/3; BRAYBROOKE PLACE; COLOMBO 2 ;SRI LANKA ,Sri Lanka,Machinery  ,www. acccess.lk 

NEW ASIA CARBON TAK SHING METAL WORK MFG CO ,nac@hknet.com ,852-23816683,G/F.; 25C BOUNDARY STREET;KOWLOON;HONGKONG ,HongKong,Machinery  ,www.nacarbon.com 

A&C PROPERTY MANAGEMENT;INC ,acprop@bellsouth.net ,3057591017,607 NE 69TH STREET;MIAMI;  FL 33138;U.S.A. ,United States,Machinery  , 

SHOYO INDUSTRIAL CO.;LTD. ,t-oto@shoyo-sangyo.co.jp ,81-6-6543-2666,3-6-1 MINAMIHORIE NISI-KUOSAKA-CITY OSAKA ;JAPAN ,Japan,Machinery  ,http://www.shoyo-sangyo.co.jp/index1.html 

